year,country,cpi,inflation,gdp,ctry_temp ,prec,glob_temp,CO2
1987,mys ,52.51,0.29,2007.17,30.45,2632.75,0.32,
1988,mys ,53.85,2.56,2134.52,30.15,3272.94,0.39,
1989,mys ,55.36,2.81,2282.47,30.09,2702.63,0.27,
1990,mys ,56.81,2.62,2513.24,30.5,2408.61,0.45,3.12
1991,mys ,59.29,4.36,2727.53,30.35,2650.87,0.4,3.61
1992,mys ,62.12,4.77,3193.64,30.36,2442.92,0.22,3.63
1993,mys ,64.31,3.54,3511.53,30.21,2801.28,0.23,3.83
1994,mys ,66.71,3.72,3802.11,30.28,2960.31,0.31,4.07
1995,mys ,69.01,3.45,4405.12,30.19,3189.97,0.45,4.29
1996,mys ,71.42,3.49,4874.82,30.14,3171.09,0.33,4.77
1997,mys ,73.32,2.66,4706.31,30.54,2498.77,0.46,4.99
1998,mys ,77.18,5.27,3308.84,30.83,2638.66,0.61,4.85
1999,mys ,79.3,2.74,3538.36,30.21,3403.99,0.38,5.12
2000,mys ,80.52,1.53,4087.56,30.39,3259.78,0.39,5.42
2001,mys ,81.66,1.42,3941.12,30.52,2965.96,0.53,5.5
2002,mys ,83.14,1.81,4177.1,30.78,2617.4,0.63,5.65
2003,mys ,84.04,1.09,4454.53,30.47,3103.65,0.62,5.82
2004,mys ,85.24,1.42,4924.34,30.46,2779.24,0.53,6.23
2005,mys ,87.77,2.98,5536.84,30.5,2779.18,0.68,6.44
2006,mys ,90.94,3.61,6137.15,30.37,3108.32,0.64,6.55
2007,mys ,92.78,2.03,7144,30.22,3240.14,0.66,6.99
2008,mys ,97.83,5.44,8343.3,30.03,3568.67,0.54,7.32
2009,mys ,98.4,0.58,7167.88,30.39,3395.93,0.66,6.43
2010,mys ,100,1.62,8880.15,30.5,3091.64,0.72,6.96
2011,mys ,103.17,3.17,10209.37,30.26,3435.63,0.61,6.94
2012,mys ,104.89,1.66,10601.51,30.55,3213.04,0.65,6.93
2013,mys ,107.1,2.11,10727.67,30.59,3085.4,0.68,7.4
2014,mys ,110.46,3.14,11045.58,30.56,2801.23,0.74,7.72
2015,mys ,112.79,2.1,9699.6,30.75,2653.04,0.9,7.6
2016,mys ,115.15,2.09,9555.67,31,2829.87,1.02,7.35
2017,mys ,119.61,3.87,9979.7,30.64,3324.94,0.92,7.04
2018,mys ,120.66,0.88,11073.98,30.85,3245.4,0.85,7.45
2019,mys ,121.46,0.66,11132.1,31.11,2589.86,0.98,7.46
2020,mys ,120.08,1.14,10164.34,30.99,3042.18,1.01,7.38
2021,mys ,123.05,2.48,11134.62,30.78,3287.92,0.85,
2022,mys ,127.21,3.38,11993.19,30.68,3484.51,0.89,
1961,myn,0.16,0.15,27.27,28.75,2355.71,1.17,
1962,myn,0.15,1.61,27.95,28.92,1858.8,0.03,
1963,myn,0.15,2.68,25.81,28.86,2155.72,0.05,
1964,myn,0.15,0.46,17.33,28.8,2103.72,0.2,
1965,myn,0.17,17.69,15.11,28.66,2214.95,0.11,
1966,myn,0.22,25.49,11.79,29.12,2089.68,0.06,
1967,myn,0.22,0.83,16.52,28.61,2050.64,0.02,
1968,myn,0.23,2.38,21.5,28.75,2244.38,0.08,
1969,myn,0.22,4.34,21.45,29.26,2038.99,0.05,
1970,myn,0.21,4.01,20.66,28.65,2276.91,0.03,
1971,myn,0.21,2.09,21.04,28.38,2171.1,0.08,
1972,myn,0.23,7.64,23.19,28.97,1897.66,0.01,
1973,myn,0.28,25.2,24.68,28.94,2325.94,0.16,
1974,myn,0.36,25.21,41.19,28.46,2282.7,0.07,
